LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,Condition,Price
27200,94800,0.17,856,0,0,1,1,0,3,4,1,42.9,0,Average,124697
25000,105900,0.16,1538,0,0,1,1,1,3,4,1,82,0,Good,162008
27700,61000,0.2,780,0,700,1,0,0,2,2,1,70,0,Good,89350
35900,120500,0.46,1200,600,210,2,0,2,2,3,1,57.7,460,Good,144601
24200,105400,0.2,1260,0,0,2,0,0,4,2,1,13,0,Average,107750
42000,205300,0.46,2901,0,506,3,0,2,3,3,1,42.8,0,Average,243042
28700,138300,0.19,1440,0,0,1,0,0,2,4,1,60.8,0,Good,178209
20400,112000,0.13,1317,0,0,2,1,1,3,3,1,80.9,0,Good,159554
21900,83200,0.14,758,270,0,1,0,0,2,2,1,60.9,0,Good,114584
23700,88000,0.16,672,0,350,1,0,0,2,2,1,57.8,0,Good,125090
16200,85800,0.1,1166,0,0,1,1,1,2,3,1,67,240,Good,122734
20000,66500,0.15,907,0,0,1,0,0,2,2,1,65.9,0,Good,99169
27600,87100,0.21,1037,350,200,1,0,0,3,2,1,59,0,Good,127643
14600,67500,0.17,1423,0,0,1,0,0,2,4,1,82.9,0,Average,70695
28300,103000,0.19,1092,0,0,1,0,0,3,2,1,49.8,0,Good,145808
27000,97800,0.18,1096,0,0,1,1,0,3,3,1,46.8,0,Good,142371
27900,93700,0.32,1064,532,161,1,0,0,3,2,1,66,0,Average,140407
25600,86300,0.16,1112,300,0,1,1,0,3,3,1,61.7,0,Average,119440
28800,75500,0.25,720,0,0,1,0,0,2,2,1,52.9,0,Good,137462
15200,60400,0.17,832,0,0,1,0,1,3,2,1,82.7,0,Good,53020
32600,65300,0.47,864,0,0,1,0,0,2,2,1,83,0,Good,80513
27100,105200,0.21,1138,320,320,1,1,0,3,3,1,51.8,264,Good,133515
22500,82500,0.15,1142,100,144,1,0,0,3,3,1,60.9,200,Good,122734
21300,102000,0.15,1150,400,0,1,0,0,3,2,1,57.8,0,Good,125679
21300,85200,0.15,969,590,0,1,0,0,4,2,1,60,0,Average,113897
22900,94100,0.15,1119,350,0,1,0,0,2,4,1,82,0,Good,108222
